open,high,low,close,volume,market_cap,foreign,ndq,s&p,kosdaq,kospi,base rate
1.0,0.996463711243614,0.9963555359003415,0.9927889208700746,0.0665931564054015,0.9920907480267437,-0.13002229014051522,-0.6489127172137192,-0.5946135204822,-0.6288279372616954,-0.2361260735463427,0.7543445496180694
0.996463711243614,1.0,0.9960797708442245,0.9970861849703683,0.09345642311480336,0.9962039239436103,-0.14053491602214954,-0.6471499061064252,-0.5947090474512435,-0.628179309179874,-0.23388543313000115,0.7542596049686195
0.9963555359003415,0.9960797708442245,1.0,0.9969748096062144,0.043228592026916327,0.996205713434537,-0.1213992158901111,-0.6466053452491551,-0.5907161079970041,-0.6244571026809033,-0.22792990679756223,0.7499083116350882
0.9927889208700746,0.9970861849703683,0.9969748096062144,1.0,0.0671461099537212,0.9991189149531307,-0.12994573592500022,-0.6455038733261054,-0.5917350829018236,-0.624947951382826,-0.2291957594761059,0.7508777375052313
0.0665931564054015,0.09345642311480336,0.043228592026916327,0.0671461099537212,1.0,0.05911861480688693,-0.4217017588897813,-0.013205632366287811,-0.04223789539674836,-0.0542857843565748,0.027851086392852338,0.1342294789448762
0.9920907480267437,0.9962039239436103,0.996205713434537,0.9991189149531307,0.05911861480688693,1.0,-0.11019431950076469,-0.6655678055170674,-0.6086194521575873,-0.6302051084211434,-0.23597090117535444,0.7626384341944631
-0.13002229014051522,-0.14053491602214954,-0.1213992158901111,-0.12994573592500022,-0.4217017588897813,-0.11019431950076469,1.0,-0.23065330057914687,-0.15827493172729926,-0.06311377993629058,-0.22423513625855038,-0.017772684324879665
-0.6489127172137192,-0.6471499061064252,-0.6466053452491551,-0.6455038733261054,-0.013205632366287811,-0.6655678055170674,-0.23065330057914687,1.0,0.8370482975501229,0.7615200405775443,0.5686669982729659,-0.8320723299515359
-0.5946135204822,-0.5947090474512435,-0.5907161079970041,-0.5917350829018236,-0.04223789539674836,-0.6086194521575873,-0.15827493172729926,0.8370482975501229,1.0,0.7054236044470583,0.5641208115085922,-0.7503083615372682
-0.6288279372616954,-0.628179309179874,-0.6244571026809033,-0.624947951382826,-0.0542857843565748,-0.6302051084211434,-0.06311377993629058,0.7615200405775443,0.7054236044470583,1.0,0.7643939190930464,-0.7706342115300245
-0.2361260735463427,-0.23388543313000115,-0.22792990679756223,-0.2291957594761059,0.027851086392852338,-0.23597090117535444,-0.22423513625855038,0.5686669982729659,0.5641208115085922,0.7643939190930464,1.0,-0.4942735502651641
0.7543445496180694,0.7542596049686195,0.7499083116350882,0.7508777375052313,0.1342294789448762,0.7626384341944631,-0.017772684324879665,-0.8320723299515359,-0.7503083615372682,-0.7706342115300245,-0.4942735502651641,1.0
