open,high,low,close,volume,market_cap,foreign,ndq,s&p,kosdaq,kospi,base rate
1.0,0.9994189396166155,0.9995735289881136,0.9989133156650166,0.48875444765895937,0.9986624895258996,0.7052454088090746,0.7844935187515626,0.7033342471910119,0.6680599153269924,0.566948918635982,-0.5651037686896176
0.9994189396166155,1.0,0.9993745284007293,0.9995934665350155,0.5023991543617011,0.9992683484020335,0.7072061698916425,0.7841187184657569,0.7035095679982778,0.6692802286102372,0.5688160885985502,-0.565935445280773
0.9995735289881136,0.9993745284007293,1.0,0.9994813773124133,0.4833517023758247,0.9993004100465257,0.7043874970784881,0.785362392964852,0.7046274381488533,0.6687026524475226,0.5680426124486816,-0.5648801485565632
0.9989133156650166,0.9995934665350155,0.9994813773124133,1.0,0.49526027189404953,0.9997499330828602,0.7048323087607898,0.784448219857901,0.7037683096105019,0.6692255491701816,0.5692283540054025,-0.5653386296193986
0.48875444765895937,0.5023991543617011,0.4833517023758247,0.49526027189404953,1.0,0.4910169699037898,0.5121617287249569,0.42839822855770865,0.3910139314317796,0.423872749990333,0.5283230139596546,-0.375679189054567
0.9986624895258996,0.9992683484020335,0.9993004100465257,0.9997499330828602,0.4910169699037898,1.0,0.694730527529193,0.787551846745704,0.7057937488281169,0.6658190151581788,0.5648121863536298,-0.5692492603785632
0.7052454088090746,0.7072061698916425,0.7043874970784881,0.7048323087607898,0.5121617287249569,0.694730527529193,1.0,0.6779177812431233,0.6477152439577111,0.7268424400830626,0.6548529272175242,-0.5804793243084726
0.7844935187515626,0.7841187184657569,0.785362392964852,0.784448219857901,0.42839822855770865,0.787551846745704,0.6779177812431233,1.0,0.8370482975501229,0.7615200405775443,0.5686669982729659,-0.8320723299515359
0.7033342471910119,0.7035095679982778,0.7046274381488533,0.7037683096105019,0.3910139314317796,0.7057937488281169,0.6477152439577111,0.8370482975501229,1.0,0.7054236044470583,0.5641208115085922,-0.7503083615372682
0.6680599153269924,0.6692802286102372,0.6687026524475226,0.6692255491701816,0.423872749990333,0.6658190151581788,0.7268424400830626,0.7615200405775443,0.7054236044470583,1.0,0.7643939190930464,-0.7706342115300245
0.566948918635982,0.5688160885985502,0.5680426124486816,0.5692283540054025,0.5283230139596546,0.5648121863536298,0.6548529272175242,0.5686669982729659,0.5641208115085922,0.7643939190930464,1.0,-0.4942735502651641
-0.5651037686896176,-0.565935445280773,-0.5648801485565632,-0.5653386296193986,-0.375679189054567,-0.5692492603785632,-0.5804793243084726,-0.8320723299515359,-0.7503083615372682,-0.7706342115300245,-0.4942735502651641,1.0
